Word,Level,Theme,Hindi (Devanagari),Telugu (Telugu Script),Chinese (Simplified Hanzi),Spanish (Español),French (Français),German (Deutsch),Arabic (العربية),Japanese (日本語),Russian (Русский),Portuguese (Português),Italian (Italiano),Korean (한국어)
EYE,16,Jungle Safari,आँख,కన్ను,眼睛,ojo,œil,auge,عين,目,глаз,olho,occhio,눈
SPRING,17,Time & Seasons,वसंत ऋतु,వసంత ఋతువు,春天,primavera,printemps,frühling,ربيع,春,весна,primavera,primavera,봄
SUMMER,17,Time & Seasons,गर्मी,వేసవి,夏天,verano,été,sommer,صيف,夏,лето,verão,estate,여름
AUTUMN,17,Time & Seasons,पतझड़,శరదృతువు,秋天,otoño,automne,herbst,خريف,秋,осень,outono,autunno,가을
WINTER,17,Time & Seasons,सर्दी,శీతాకాలం,冬天,invierno,hiver,winter,شتاء,冬,зима,inverno,inverno,겨울
CLOCK,17,Time & Seasons,घड़ी,గడియారం,时钟,reloj,horloge,uhr,ساعة,時計,часы,relógio,orologio,시계
NIGHT,17,Time & Seasons,रात,రాత్రి,夜晚,noche,nuit,nacht,ليل,夜,ночь,noite,notte,밤
WIN,17,Time & Seasons,जीत,గెలుపు,获胜,ganar,gagner,gewinnen,فوز,勝つ,побеждать,vencer,vincere,이기다
COIN,17,Time & Seasons,सिक्का,నాణెం,硬币,moneda,pièce,münze,عملة معدنية,硬貨,монета,moeda,moneta,동전
LOCK,17,Time & Seasons,ताला,తాళం,锁,cerradura,serrure,schloss,قفل,錠,замок,fechadura,serratura,자물쇠
NET,17,Time & Seasons,जाल,వల,渔网,red,filet,netz,شبكة,網,сеть,rede,rete,그물
PRIME,17,Time & Seasons,मुख्य समय,ప్రధాన సమయం,黄金时期,primero,premier,prima,رئيسي,主要な,главный,principal,principale,주요한
ONCE,17,Time & Seasons,एक बार,ఒకసారి,一次,una vez,une fois,einmal,مرة واحدة,一度,однажды,uma vez,una volta,한 번
RIME,17,Time & Seasons,पाला,మంచు పొర,霜,escarcha,givre,reif,صقيع,樹氷,иней,geada,brina,서리
GLINT,17,Time & Seasons,चमक,మెరుపు,闪光,destello,lueur,schimmer,بريق,きらめき,блеск,brilho,bagliore,반짝임
ECHO,17,Time & Seasons,गूँज,ప్రతిధ్వని,回声,eco,écho,echo,صدى,木霊,эхо,eco,eco,메아리
MOUNT,18,Mountain Peak,पर्वत,పర్వతం,山峰,monte,mont,berg,جبل,山,гора,monte,monte,산
CLIFF,18,Mountain Peak,खड़ी चट्टान,కొండచరియ,悬崖,acantilado,falaise,klippe,منحدر صخري,崖,утес,penhasco,scogliera,절벽
RIDGE,18,Mountain Peak,पहाड़ी चोटी या शिखर,పర్వత శ్రేణి,山脊,cresta,crête,grat,سلسلة جبلية,尾根,хребет,crista,cresta,산등성이
SLOPE,18,Mountain Peak,ढलान,వాలు,斜坡,pendiente,pente,hang,منحدر,斜面,склон,encosta,pendenza,경사면
CANYON,18,Mountain Peak,कंदरा या गहरी घाटी,లోయ,峡谷,cañón,canyon,schlucht,أخدود,峡谷,каньон,cânion,canyon,협곡
VALLEY,18,Mountain Peak,उपत्यका या घाटी,పచ్చని లోయ,山谷,valle,vallée,tal,وادي,谷,долина,vale,valle,계곡
DEEP,18,Mountain Peak,गहरा,లోతైన,深邃的,profundo,profond,tief,عميق,深い,глубокий,profundo,profondo,깊은
OPEN,18,Mountain Peak,खुला,తెరిచి ఉన్న,开阔的,abierto,ouvert,offen,مفتوح,開いた,открытый,aberto,aperto,열린
POLE,18,Mountain Peak,खंभा,స్తంభం,杆子,polo,pôle,pol,قطب,極,полюс,polo,polo,기둥
DEN,18,Mountain Peak,मांद या बिल,గుహ,兽穴,guarida,tanière,höhle,عرين,巣穴,логово,toca,tana,굴
VAN,18,Mountain Peak,वैन या बस,వ్యాన్,面包车,furgoneta,fourgonnette,lieferwagen,شاحنة صغيرة,バン,фургон,van,furgone,승합차
LODGE,18,Mountain Peak,पर्वतीय कुटीर या विश्रामगृह,విశ్రాంతి గృహం,山庄,cabaña,gîte,hütte,نزل,ロッジ,домик,chalé,rifugio,오두막
LIFT,18,Mountain Peak,स्की लिफ्ट या केबल कार,లిఫ్ట్,缆车,elevar,lever,heben,رفع,持ち上げる,поднимать,levantar,sollevare,들어올리다
LAVA,18,Mountain Peak,लावा या ज्वालामुखीय द्रव,లావా,熔岩,lava,lave,lava,حمم بركانية,溶岩,лава,lava,lava,용암
PONY,18,Mountain Peak,टट्टू या छोटा घोड़ा,పొట్టి గుర్రం,小马,poni,poney,pony,مهر,子馬,пони,pônei,pony,조랑말
CHEST,19,Treasure Island,संदूक या बक्सा,పెట్టె,宝箱,cofre,coffre,truhe,صندوق الكنز,宝箱,сундук,baú,forziere,상자
PIRATE,19,Treasure Island,समुद्री डाकू,సముద్రపు దొంగ,海盗,pirata,pirate,pirat,قرصان,海賊,пират,pirata,pirata,해적
PEARL,19,Treasure Island,मोती,ముత్యం,珍珠,perla,perle,perle,لؤلؤة,真珠,жемчужина,pérola,perla,진주
ANCHOR,19,Treasure Island,लंगर,లంగరు,铁锚,ancla,ancre,anker,مرساة,錨,якорь,âncora,ancora,닻
CARD,19,Treasure Island,नक्शा या ताश का पत्ता,కార్డు,卡片,carta,carte,karte,بطاقة,カード,карта,carta,carta,카드
HEAT,19,Treasure Island,ताप या गर्मी,వేడి,酷热,calor,chaleur,hitze,حرارة,熱,жара,calor,calore,열기
RICHES,19,Treasure Island,अतुल धन या अत्यधिक संपत्ति,సిరిసంపదలు,财富,riquezas,richesses,reichtum,ثروات,富,богатства,riquezas,ricchezze,부
STEAL,19,Treasure Island,चुराना,దొంగిలించడం,偷窃,robar,voler,stehlen,سرقة,盗む,красть,roubar,rubare,훔치다
TAVERN,19,Treasure Island,सराय या शराबख़ाना,సత్రం,酒馆,taberna,taverne,taverne,حانة,酒場,таверна,taverna,taverna,선술집
PIER,19,Treasure Island,घाट,రేవు,码头,muelle,jetée,steg,رصيف الميناء,桟橋,пирс,cais,molo,부두
STEEL,19,Treasure Island,इस्पात या स्टील,ఉక్కు,钢铁,acero,acier,stahl,فولاذ,鋼鉄,сталь,aço,acciaio,강철
VAST,19,Treasure Island,विशाल,విశాలమైన,辽阔的,vasto,vaste,weit,واسع,広大な,обширный,vasto,vasto,광대한
HORDE,19,Treasure Island,झुंड या समूह,గుంపు,部落,horda,horde,horde,حشد,群勢,орда,horda,orda,무리
CHIP,19,Treasure Island,स्वर्ण खंड या टुकड़ा,ముక్క,碎片,ficha,jeton,chip,شريحة,チップ,фишка,ficha,fiche,칩
HOLD,19,Treasure Island,जहाज का तलघर या भंडारण क्षेत्र,ఓడ అడుగుభాగం,船舱,bodega,cale,frachthalt,عنبر السفينة,船倉,трюм,porão,stiva,선창
VICTOR,20,Grand Master Champion,विजेता ,విజేత,胜利者,vencedor,vainqueur,sieger,منتصر,勝者,победитель,vencedor,vincitore,승리자
TROPHY,20,Grand Master Champion,विजय-प्रतीक,విజయ చిహ్నం,奖杯,trofeo,trophée,trophäe,كأس البطولة,トロフィー,трофей,troféu,trofeo,트로피
HERO,20,Grand Master Champion,नायक,వీరుడు,英雄,héroe,héros,held,بطل,英雄,герой,herói,eroe,영웅
BRAVE,20,Grand Master Champion,साहसी या बहादुर,ధైర్యవంతుడు,勇敢的,valiente,brave,mutig,شجاع,勇敢な,храбрый,corajoso,coraggioso,용감한
LEGEND,20,Grand Master Champion,अमर गाथा,పురాణ పురుషుడు,传奇,leyenda,légende,legende,أسطورة,伝説,легенда,lenda,leggenda,전설
HEROIC,20,Grand Master Champion,वीरतापूर्ण,వీరోచితమైన,英勇的,heroico,héroïque,heroisch,بطولي,英雄的,героический,heroico,eroico,영웅적인
ARENA,20,Grand Master Champion,रणभूमि या अखाड़ा,రణరంగం,竞技场,arena,arène,arena,حلبة,競技場,арена,arena,arena,투기장
BRAVO,20,Grand Master Champion,शाबाश,శభాష్,喝彩,bravo,bravo,bravo,أحسنت,ブラボー,браво,bravo,bravo,브라보
GOVERN,20,Grand Master Champion,शासन करना,పాలించడం,统治,gobernar,gouverner,regieren,حكم,統治する,править,governar,governare,다스리다
ARISE,20,Grand Master Champion,उठ खड़े होना,ఉదయించడం,崛起,surgir,surgir,aufstehen,نهوض,立ち上がる,возникать,surgir,sorgere,일어나다
BLARE,20,Grand Master Champion,शंखनाद या तेज़ आवाज़,మోత,鸣响,estruendo,retentir,schmettern,دوي,鳴り響く,греметь,bramido,squillo,울려퍼지다
GLARE,20,Grand Master Champion,तीक्ष्ण दृष्टि या घूरना,తీక్షణమైన చూపు,怒视,resplandor,lueur vive,blenden,وهج ساطع,ギラギラする光,блик,clarão,bagliore accecante,눈부신 빛
GRID,20,Grand Master Champion,ग्रिड या नियमित ढांचा,గ్రిడ్,网格,cuadrícula,grille,gitter,شبكة المربعات,格子,сетка,grade,griglia,격자
GRIN,20,Grand Master Champion,मुस्कान,చిరునవ్వు,咧嘴笑,sonrisa,large sourire,grinsen,ابتسامة عريضة,にっこり笑う,ухмылка,sorriso largo,ghigno,활짝 웃다
LARGE,20,Grand Master Champion,विशाल या बड़ा,పెద్ద,庞大的,grande,grand,groß,كبير,大きい,большой,grande,grande,커다란
